Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
760;2024-01-01 12:40:00;5470,166137650046;13000;0,0;3634,002954754138;1836,1631828959075;p_max;51350,0;0,998320738874895
765;2024-01-01 12:45:00;6432,4802488357045;12700;0,0;4731,663004504033;1700,8172443316716;p_max;51350,0;0,998320738874895
770;2024-01-01 12:50:00;8245,695448000002;12700;0,0;4900,0;3345,695448000001;p_max;51350,0;0,998320738874895
775;2024-01-01 12:55:00;9755,542620430131;12750;0,0;5753,717109032668;4001,825511397464;p_max;51350,0;0,998320738874895
780;2024-01-01 13:00:00;8534,493964053776;13400;0,0;4813,547388053776;3720,946576;p_max;51350,0;0,998320738874895
785;2024-01-01 13:05:00;10320,275527109763;14600;0,0;4469,777402109767;5850,498124999999;p_max;51350,0;0,998320738874895
790;2024-01-01 13:10:00;10582,85591048294;15950;0,0;4640,369155281686;5942,486755201253;p_max;51350,0;0,998320738874895
795;2024-01-01 13:15:00;10562,651515361758;17250;0,0;3821,516699804143;6741,134815557617;p_max;51350,0;0,998320738874895
800;2024-01-01 13:20:00;10280,386102070257;16900;0,0;3850,0;6430,38610207026;p_max;51350,0;0,998320738874895
805;2024-01-01 13:25:00;8066,411127561685;16250;0,0;3598,9279597715204;4467,483167790164;p_max;51350,0;0,998320738874895
810;2024-01-01 13:30:00;6340,081452555796;15200;0,0;3445,5611185557955;2894,5203340000007;p_max;51350,0;0,998320738874895
815;2024-01-01 13:35:00;5625,255611714723;13850;0,0;3006,816338927279;2618,4392727874438;p_max;51350,0;0,998320738874895
820;2024-01-01 13:40:00;7105,275960180142;14800;0,0;2716,5050659999997;4388,770894180142;p_max;51350,0;0,998320738874895
825;2024-01-01 13:45:00;7511,740310393205;15450;0,0;2130,917771393205;5380,822539;p_max;51350,0;0,998320738874895
830;2024-01-01 13:50:00;6727,880936506221;12800;0,0;1819,3488524428212;4908,5320840634;p_max;51350,0;0,998320738874895
835;2024-01-01 13:55:00;6008,946466588094;11450;0,0;2100,0;3908,946466588094;p_max;51350,0;0,998320738874895
840;2024-01-01 14:00:00;4151,637490215059;9450;0,0;2084,745167215059;2066,8923230000005;p_max;51350,0;0,998320738874895
845;2024-01-01 14:05:00;2038,460553554785;8100;0,0;1750,0;288,460553554785;p_max;51350,0;0,998320738874895
850;2024-01-01 14:10:00;1681,128028428187;7750;0,0;1681,128028428187;0,0;p_max;51350,0;0,998320738874895
855;2024-01-01 14:15:00;2784,481552;8850;100,0;1750,0;934,4815520000001;p_max;51350,0;0,998320738874895
860;2024-01-01 14:20:00;3793,0028679999996;8950;200,0;1750,0;1843,0028679999998;p_max;51350,0;0,998320738874895
865;2024-01-01 14:25:00;5561,351792072894;8050;300,0;1750,0;3511,3517920728937;p_max;51350,0;0,998320738874895
870;2024-01-01 14:30:00;4993,5321520464995;6050;300,0;1463,6188170464986;3229,9133350000006;p_max;51350,0;0,998320738874895
875;2024-01-01 14:35:00;4761,332387807993;6700;300,0;828,5395453342504;3632,7928424737415;p_max;51350,0;0,998320738874895
